연번,상호명,소재지 도로명주소,전화번호,비고,데이터기준일자
1,가매일식,광주광역시 서구 상무대로 1104-26 (농성동),062-352-7711,2025광주맛집,2025-03-10
2,강촌,광주광역시 서구 마륵복개로 152-3 (치평동),062-374-3579,2025광주맛집,2025-03-10
3,광신보리밥,광주광역시 북구 두리봉길 2-1 (두암2동),062-264-1811,2025광주맛집,2025-03-10
4,광주밥집,광주광역시 서구 상무화원로11번길 8 (치평동),062-376-0050,2025광주맛집,2025-03-10
5,광주옥 1947,광주광역시 서구 상무대로 1104-20 (농성동),062-362-1616,2025광주맛집,2025-03-10
6,금다연한정식,"광주광역시 서구 상무연하로 72, 202호 (치평동)",062-374-1000,2025광주맛집,2025-03-10
7,김강심칼국수,광주광역시 서구 회재로 841 (매월동),062-682-0801,2025광주맛집,2025-03-10
8,김명화서리태콩국수,광주광역시 남구 천변좌로338번길 16 (사직동),062-651-3232,2025광주맛집,2025-03-10
9,깐깐한족발 본점,광주광역시 광산구 첨단중앙로116번길 46 (월계동),062-973-2292,2025광주맛집,2025-03-10
10,나나방콕 상무본점,광주광역시 서구 상무자유로 180 (치평동),062-381-7500,2025광주맛집,2025-03-10
11,남가정,광주광역시 동구 지호로 137-7 (지산2동),062-227-4114,2025광주맛집,2025-03-10
12,남해가든,광주광역시 남구 봉선로133번길 23 (봉선2동),062-671-8348,2025광주맛집,2025-03-10
13,다도해물나라,광주광역시 서구 마륵복개로 57 (서창동),062-381-9933,2025광주맛집,2025-03-10
14,달맞이흑두부,광주광역시 광산구 북문대로 500-17 (신창동),062-972-8465,2025광주맛집,2025-03-10
15,대광식당,광주광역시 서구 상무대로695번길 15 (마륵동),062-226-3939,2025광주맛집,2025-03-10
16,등촌 본점,광주광역시 남구 효우로230번길 2 (효덕동),062-672-5292,2025광주맛집,2025-03-10
17,뜨락의아침,광주광역시 남구 봉선로52번길 20(주월1동),062-672-7001,2025광주맛집,2025-03-10
18,람바다,광주광역시 북구 갈마로 57 (두암3동),062-261-8085,2025광주맛집,2025-03-10
19,루키초밥,광주광역시 서구 상무대로1176번길 14 (농성1동),0507-1390-5492,2025광주맛집,2025-03-10
20,마천루,"광주광역시 서구 월드컵4강로 236, 2층 (쌍촌동)",062-381-8006,2025광주맛집,2025-03-10
21,마한지,광주광역시 동구 문화전당로 37-2 (광산동),062-234-9261,2025광주맛집,2025-03-10
22,매월흑염소가든,광주광역시 서구 회재유통길 19-24(매월동),062-374-6665,2025광주맛집,2025-03-10
23,무등산 민속촌,광주광역시 동구 무등로 590 (산수2동),062-223-2800,2025광주맛집,2025-03-10
24,무등콩물,광주광역시 북구 면앙로155번길 6 (두암2동),062-446-7377,2025광주맛집,2025-03-10
25,미미원,광주광역시 동구 백서로 218 (동명동),062-228-3101,2025광주맛집,2025-03-10
